target_id,sales_rep_id,date_id,monthly_target_kes
1,1,20240101,813924.36
2,1,20240201,813000.54
3,1,20240301,766220.16
4,1,20240401,775020.75
5,1,20240501,750238.76
6,1,20240601,775072.74
7,1,20240701,707696.88
8,1,20240801,749830.57
9,1,20240901,751556.15
10,1,20241001,782055.7
11,1,20241101,822527.99
12,1,20241201,868221.97
13,1,20250101,871745.92
14,1,20250201,816454.66
15,1,20250301,827812.81
16,1,20250401,837789.05
17,1,20250501,804912.67
18,1,20250601,807445.69
19,1,20250701,785019.66
20,1,20250801,817322.51
21,1,20250901,783941.79
22,1,20251001,841961.83
23,1,20251101,873768.74
24,1,20251201,924923.54
25,2,20240101,782106.35
26,2,20240201,737495.11
27,2,20240301,738833.92
28,2,20240401,716868.5
29,2,20240501,708634.61
30,2,20240601,751433.01
31,2,20240701,735390.48
32,2,20240801,760914.31
33,2,20240901,758740.89
34,2,20241001,767906.99
35,2,20241101,754520.49
36,2,20241201,856303.64
37,2,20250101,856172.22
38,2,20250201,782830.43
39,2,20250301,847386.8
40,2,20250401,774894.97
41,2,20250501,793551.89
42,2,20250601,764179.36
43,2,20250701,731655.55
44,2,20250801,755482.14
45,2,20250901,750128.83
46,2,20251001,834804.67
47,2,20251101,843453.48
48,2,20251201,849585.0
49,3,20240101,988381.55
50,3,20240201,921972.05
51,3,20240301,902651.86
52,3,20240401,923684.69
53,3,20240501,993902.25
54,3,20240601,946989.93
55,3,20240701,860445.18
56,3,20240801,867045.04
57,3,20240901,910767.55
58,3,20241001,954980.37
59,3,20241101,992251.63
60,3,20241201,1071063.12
61,3,20250101,1040461.03
62,3,20250201,1045378.91
63,3,20250301,975604.14
64,3,20250401,992733.23
65,3,20250501,942096.17
66,3,20250601,1046478.44
67,3,20250701,888602.7
68,3,20250801,953072.1
69,3,20250901,918376.45
70,3,20251001,997168.81
71,3,20251101,1042594.0
72,3,20251201,1094102.88
73,4,20240101,917546.96
74,4,20240201,893840.34
75,4,20240301,932645.85
76,4,20240401,882260.48
77,4,20240501,948071.26
78,4,20240601,934656.1
79,4,20240701,874220.16
80,4,20240801,884406.2
81,4,20240901,917100.47
82,4,20241001,916503.18
83,4,20241101,1008597.45
84,4,20241201,1028683.74
85,4,20250101,967021.49
86,4,20250201,945022.85
87,4,20250301,974478.62
88,4,20250401,924416.38
89,4,20250501,900977.73
90,4,20250601,916470.5
91,4,20250701,920926.7
92,4,20250801,949397.32
93,4,20250901,941902.63
94,4,20251001,987370.65
95,4,20251101,962266.45
96,4,20251201,1108468.79
97,5,20240101,836450.77
98,5,20240201,801417.91
99,5,20240301,763238.95
100,5,20240401,742927.25
101,5,20240501,775616.52
102,5,20240601,758428.94
103,5,20240701,727230.7
104,5,20240801,736547.09
105,5,20240901,754218.12
106,5,20241001,772555.21
107,5,20241101,826038.73
108,5,20241201,844594.86
109,5,20250101,844478.44
110,5,20250201,819530.59
111,5,20250301,787647.1
112,5,20250401,753506.27
113,5,20250501,780793.45
114,5,20250601,839485.12
115,5,20250701,777030.91
116,5,20250801,738947.98
117,5,20250901,792239.18
118,5,20251001,792822.01
119,5,20251101,861265.85
120,5,20251201,927837.87
121,6,20240101,1158387.18
122,6,20240201,1100753.34
123,6,20240301,1134440.48
124,6,20240401,1186330.75
125,6,20240501,1142719.93
126,6,20240601,1164274.42
127,6,20240701,1070982.91
128,6,20240801,1145495.85
129,6,20240901,1109623.21
130,6,20241001,1192311.7
131,6,20241101,1257981.48
132,6,20241201,1349939.01
133,6,20250101,1296348.86
134,6,20250201,1250537.48
135,6,20250301,1301878.34
136,6,20250401,1226067.58
137,6,20250501,1226545.01
138,6,20250601,1188447.81
139,6,20250701,1211459.94
140,6,20250801,1119829.08
141,6,20250901,1235471.42
142,6,20251001,1341183.6
143,6,20251101,1327582.05
144,6,20251201,1342386.96
145,7,20240101,489301.29
146,7,20240201,488286.37
147,7,20240301,469147.89
148,7,20240401,438168.14
149,7,20240501,464608.69
150,7,20240601,490419.87
151,7,20240701,454253.16
152,7,20240801,438352.27
153,7,20240901,484319.12
154,7,20241001,478920.68
155,7,20241101,521313.37
156,7,20241201,530972.79
157,7,20250101,525065.05
158,7,20250201,509259.7
159,7,20250301,506601.46
160,7,20250401,519694.98
161,7,20250501,482643.31
162,7,20250601,464841.65
163,7,20250701,466317.04
164,7,20250801,468920.84
165,7,20250901,512489.25
166,7,20251001,508834.14
167,7,20251101,511108.07
168,7,20251201,544505.28
169,8,20240101,263902.22
170,8,20240201,268283.83
171,8,20240301,262103.89
172,8,20240401,267017.7
173,8,20240501,247628.9
174,8,20240601,278002.86
175,8,20240701,266766.17
176,8,20240801,262631.47
177,8,20240901,275428.69
178,8,20241001,267190.18
179,8,20241101,277578.84
180,8,20241201,294914.52
181,8,20250101,286203.66
182,8,20250201,298079.18
183,8,20250301,286899.44
184,8,20250401,280226.84
